Symbol,Current_Price,Trend_Strength_Score,Trend_Rating,Short_Term_Strength,Medium_Term_Strength,Long_Term_Strength,Momentum_Consistency,Volume_Validation,Trend_Direction,Trend_Magnitude,Trend_Quality,Monthly_Return,Annual_Return,Volatility,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Trend_Rank,Rank
MARUTI.NS,14349.0,0.8231321242785956,Very Strong Uptrend,0.8964471324713443,0.8245824174980845,0.8452470310292094,0.7258183183981025,0.7834172526185864,1,0.006930413300583017,1.0,0.15507723757372538,0.18683933621087187,0.2174319739301054,0.20443700416091168,0.894781455632642,0.189,4511.368740864,Consumer Cyclical,1.0,1
APOLLOHOSP.NS,7922.5,0.8179308156776862,Very Strong Uptrend,0.8523089241795798,0.8755400930654862,0.7963419443876444,0.7460065976442972,0.7839835455456202,1,0.004158385464172199,1.0,0.07729213600271427,0.17644115905405758,0.2258255438462968,0.1849717996169727,0.979324977725997,0.161,1139.136659456,Healthcare,2.0,2
TITAN.NS,3621.0,0.816310176208178,Very Strong Uptrend,1.081624864673072,0.7690100847676512,0.8059332513785031,0.609191489403244,0.765804305510256,1,0.003334653933040576,0.75,0.03920333529006449,0.02008130737203209,0.22093266820842491,0.22498193792542748,0.27556852609929233,0.297,3211.989876736,Consumer Cyclical,3.0,3
HEROMOTOCO.NS,4997.89990234375,0.8046985790846883,Very Strong Uptrend,0.7999838122135479,0.9105937934269118,0.8031330659856889,0.6538278806548649,0.7879727979373257,1,0.005804103724175067,1.0,0.1617889806363944,-0.0158819177406538,0.2622640855292907,0.42157898845005976,1.0842725926102985,0.707,999.919845376,Consumer Cyclical,4.0,4
M&M.NS,3403.0,0.8045091978766338,Very Strong Uptrend,0.8169897736450679,0.8770309364756713,0.8438533330714316,0.6717420327824837,0.7341924722898124,1,0.0031103084659253747,1.0,0.043576957868015666,0.23865823446683895,0.29267471071745216,0.2241755895363209,1.372794934169356,0.509,4141.485129728,Consumer Cyclical,5.0,5
HINDUNILVR.NS,2629.89990234375,0.7891388607837383,Strong Uptrend,1.0641256710302414,0.8767479472916255,0.7987335785024079,0.4627765999926434,0.5868457008685672,1,0.003534791910261393,1.0,0.07880049621295616,-0.0406509495463338,0.19274392584695968,0.28225371696103024,-0.0051066235599951035,0.37,6179.186540544,Consumer Defensive,6.0,6
HDFCLIFE.NS,788.75,0.7795268056551717,Strong Uptrend,0.764471312260649,0.781606774980192,0.8896380883291631,0.6438931037232105,0.7482490787814767,0,0.001565539343246507,0.0,0.04152913338700472,0.09161573384027527,0.22731950214597665,0.24443341639675872,0.39036077854277235,0.649,1700.11131904,Financial Services,7.0,7
EICHERMOT.NS,5924.5,0.7768006148335959,Strong Uptrend,0.8134777298387711,0.8625721028792233,0.7728696493405274,0.614041257747011,0.7542562809923493,1,0.0031413238784876825,1.0,0.09733412956100126,0.22138186524084927,0.24788168979123823,0.14254589700823056,1.1483737601555524,0.127,1624.960139264,Consumer Cyclical,8.0,8
SBILIFE.NS,1859.0,0.7635928564512494,Strong Uptrend,0.8485494447587293,0.8125962364912885,0.889020578633259,0.642202474614746,0.4809892835076983,1,0.0007483461696446394,1.0,0.03646299359069598,0.034398655553875584,0.23045214747485993,0.280844139064258,0.7206146648763234,0.381,1863.610269696,Financial Services,9.0,9
GRASIM.NS,2813.800048828125,0.7379811809380257,Strong Uptrend,0.7439031923430202,0.7497427107217702,0.8587182068579661,0.45988511377819485,0.7873503067183895,1,0.0017921395467289903,0.75,0.032214668086739055,0.051841213234737143,0.22786422737020495,0.1922838263206584,0.9130474908008342,0.275,1909.312585728,Basic Materials,10.0,10
CIPLA.NS,1592.800048828125,0.7365385056577567,Strong Uptrend,0.7516994879362805,0.8553139086989567,0.8117458967995347,0.6559941379869816,0.4735635733188697,1,0.002425100285602485,1.0,0.0705020651205193,0.007523483329154693,0.2377001316660516,0.17601910783457822,0.5151008596643786,0.097,1286.590562304,Healthcare,11.0,11
BHARTIARTL.NS,1933.300048828125,0.7318359032534987,Strong Uptrend,0.9458729117531117,0.6813462971683727,0.9087024527822274,0.39766381052255817,0.5699970789122845,0,0.002445458457737495,0.0,-0.0014461684794790288,0.3321003365241871,0.21703776122144303,0.1388684791616455,1.7681014158339892,0.155,11593.110781952,Communication Services,12.0,12
HINDALCO.NS,704.2000122070312,0.7303955168348499,Strong Uptrend,0.6422004516063387,0.829177851810187,0.8087446082186466,0.5649234771834386,0.7182419328590534,1,0.0018812509599783445,0.75,0.019787619320611988,0.034662073036248554,0.2976679672713621,0.262293988753309,0.7708638478617036,1.018,1563.845197824,Basic Materials,13.0,13
ULTRACEMCO.NS,12589.0,0.7200686595502567,Strong Uptrend,0.7445050224289083,0.8103237512149668,0.7373782856134031,0.47782977719034375,0.7504511951922065,1,0.0017848309225764376,0.75,0.029648713859240176,0.13105172311380844,0.22872057656906952,0.1618227365983974,0.8778646628760023,0.43,3703.0920192,Basic Materials,14.0,14
BAJAJ-AUTO.NS,8679.5,0.7142860232753917,Strong Uptrend,0.9282358441377159,0.7918711728356894,0.5100287082775171,0.5709478418677303,0.7834780525959155,1,0.0024997348348591696,1.0,0.047173795017192495,-0.09668366587265668,0.2682111144829721,0.4231352548080208,1.207995624338727,0.771,2423.194648576,Consumer Cyclical,15.0,15
DRREDDY.NS,1277.5999755859375,0.7113837952689881,Strong Uptrend,0.7320127390158878,0.7154943943338171,0.7991611538967518,0.6518602570937893,0.5902554789606658,0,0.0018769318633643007,0.0,0.009561418874703674,-0.08976156692419984,0.20734246573576923,0.2297998077089485,0.07731914753247411,0.311,1063.442251776,Healthcare,16.0,16
JSWSTEEL.NS,1054.5999755859375,0.708425289327832,Strong Uptrend,0.6007893330528888,0.8574397536094225,0.8201016358425169,0.6279421845738538,0.49793831778794184,1,0.0016979627649141142,0.75,0.020119874033078716,0.14219037544097463,0.2520958160692042,0.14950433750329561,0.5203938664426647,0.645,2572.823298048,Basic Materials,17.0,17
RELIANCE.NS,1409.199951171875,0.6821515524352672,Moderate Uptrend,0.8991899400683886,0.5021019232853577,0.8686503706213247,0.4463404701699433,0.6178294694628478,1,0.0015043562777777278,0.75,0.008502521962613434,-0.055947319608511625,0.21206272776937496,0.2717574500782333,0.1574121160043633,0.218,19069.998727168,Energy,18.0,18
TATACONSUM.NS,1084.0999755859375,0.678591050438849,Moderate Uptrend,0.8293351639675393,0.7038090425212402,0.8637283169155319,0.36957022161712905,0.4360276302905257,1,0.0011635647091722567,0.75,0.010533115439504309,-0.07253651550275797,0.23211233848814694,0.29009370904633913,0.46938496747544306,0.424,1072.753803264,Consumer Defensive,19.0,19
SBIN.NS,816.25,0.6584892977604795,Moderate Uptrend,0.5946480597795232,0.7486342157199958,0.8629110389083822,0.48676607128989724,0.42438974302663846,1,0.0010612931390354906,0.75,0.0006742525251172347,0.02095511472293581,0.2494797801837268,0.2394413041964344,0.7401859606470729,0.493,7534.49304064,Financial Services,20.0,20
