Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
HEROMOTOCO.NS,5063.7998046875,0.7939099883343245,Strong,0.9576342910423288,0.8395700081657607,0.5137696889405666,0.6008763366698875,0.9685101282599682,,,50378.801152,,,,71878.00064,0.24772276214423006,0.42157898845005953,1013.10431232,Consumer Cyclical,1.0,1
TCS.NS,3140.60009765625,0.7893172132234643,Strong,0.852048199132794,0.8756837861999448,0.7603512403862303,0.6525405215951434,0.7560853994187957,504099.995648,341783.740416,492729.991168,1.0230755275380088,0.03007872366695901,0.6780078225881572,414240.014336,0.20016157084692432,0.3292007248389072,11362.973515776,Technology,2.0,2
ULTRACEMCO.NS,12606.0,0.7854765142047349,Strong,0.9475996424017482,0.6269217049384525,0.6699923067216843,0.5946253418151366,1.0,,,67701.899264,,,,43130.400768,0.2162665375925885,0.16182273659839738,3708.092678144,Basic Materials,3.0,3
LT.NS,3603.10009765625,0.7772844244706025,Strong,0.8810655631339639,0.7571317109778879,0.574295252291837,0.6048842735544432,1.0,,,153938.00192,,,,605940.088832,0.2375569722633296,0.22626859969367166,4955.55969024,Industrials,4.0,4
APOLLOHOSP.NS,7851.0,0.7759640388163482,Strong,0.9403075623211777,0.7057573918188956,0.5599999999999999,0.5849044658151651,1.0,,,15735.000064,,,,20103.999488,0.22728849931452766,0.1849718532742757,1128.856027136,Healthcare,5.0,5
HINDALCO.NS,715.8499755859375,0.7732798511963088,Strong,0.9101728504311064,0.8282917282362932,0.47725066763495283,0.5641877294285532,1.0,,,169309.995008,,,,239939.9936,0.30424363983149977,0.26229398875330917,1589.716713472,Basic Materials,6.0,6
TECHM.NS,1527.0999755859375,0.7682017530602903,Strong,0.8778660053192735,0.8563377715994263,0.7000000000000001,0.47699851843292923,0.8295895982282357,,,45405.999104,,,,73787.998208,0.2575055679288849,0.2914996545818277,1351.537000448,Technology,7.0,7
COALINDIA.NS,380.0,0.7639103132367107,Strong,0.8753219329355078,0.7432541092005933,0.5327123981321896,0.5992435235751811,1.0,,,331420.696576,,,,373905.686528,0.26868621205153886,0.3084014043166065,2341.837471744,Energy,8.0,8
TATACONSUM.NS,1081.5999755859375,0.7619348695779344,Strong,0.9530431991084706,0.7457933536533885,0.44122988284569287,0.6078335199377328,0.9754719725517029,,,13223.000064,,,,31088.400384,0.21937209197980645,0.29009377872461106,1070.279950336,Consumer Defensive,9.0,9
CIPLA.NS,1601.199951171875,0.7548387333287755,Strong,0.9620156395361159,0.8096174899972732,0.4478408491196852,0.5949179648555086,0.8680273044651425,,,53924.999168,,,,106171.998208,0.22950825756300108,0.2650843404495552,1293.375635456,Healthcare,10.0,10
ADANIPORTS.NS,1340.4000244140625,0.7528717787217405,Strong,0.8523620559145948,0.755580683175076,0.6399682432741925,0.404476529688254,1.0,,,112940.703744,,,,60726.198272,0.3970238869619815,0.5233702170368223,2895.451783168,Industrials,11.0,11
HINDUNILVR.NS,2631.60009765625,0.7519235131898104,Strong,0.9486288330102668,0.6376217275118594,0.6618372772858807,0.6229264664294257,0.8071776700664091,,,107949.99808,,,,110530.002944,0.18831645888500564,0.2822537169610303,6183.181090816,Consumer Defensive,12.0,12
HDFCBANK.NS,1964.0999755859375,0.7477069703540589,Strong,0.9292622789201164,0.7799786620043672,0.5,0.39597112148770824,1.0,,,705753.120768,,,,1425618.763776,0.19399899773066762,0.19913778900702628,15078.434799616,Financial Services,13.0,13
ONGC.NS,236.75999450683594,0.7452227720904144,Strong,0.7282466554778372,0.837827702907007,0.6977277652796392,0.6137330564924677,0.8199502805487786,,,360552.726528,,,,326362.759168,0.284564488277627,0.3226045692699775,2978.630336512,Energy,14.0,14
BRITANNIA.NS,5550.5,0.7420504351903269,Strong,0.964953851092994,0.7448437353527927,0.5714448940532023,0.6116196512417936,0.7290564942480513,,,21938.100224,,,,12444.199936,0.19799073756298893,0.2902319760455696,1336.965595136,Consumer Defensive,15.0,15
RELIANCE.NS,1412.5999755859375,0.7179048260545647,Strong,0.7494587099186653,0.8721597788632593,0.5103947372685883,0.5824171912124152,0.8333333333333333,,,815039.971328,,,,2252110.036992,0.20610699411828945,0.2717575060184877,19116.008144896,Energy,16.0,16
SUNPHARMA.NS,1656.699951171875,0.715171938191622,Strong,0.8677897145340395,0.7350151772694823,0.31416602561862206,0.5892551265366074,1.0,,,103720.501248,,,,261227.200512,0.18630170336347493,0.19128608185075824,3974.969950208,Healthcare,17.0,17
TATASTEEL.NS,159.6300048828125,0.7048862976313466,Strong,0.7589490051179191,0.7241215208767048,0.5898450689870246,0.34903818919414026,1.0,,,45385.801728,,,,100476.100608,0.2736767424411701,0.31682783448454443,1990.873448448,Basic Materials,18.0,18
NESTLEIND.NS,1153.0,0.7008830379691973,Strong,0.972268860366025,0.6024402071109503,0.3443306179136843,0.5073006365217123,0.9618328119725361,,,31075.79904,,,,761.8,0.18688654231601987,0.21977868126076064,2223.341568,Consumer Defensive,19.0,19
