fyers_symbol,yfinance_symbol,name
NSE:RELIANCE-EQ,RELIANCE.NS,Reliance Industries Ltd
NSE:TCS-EQ,TCS.NS,Tata Consultancy Services Ltd
NSE:HDFCBANK-EQ,HDFCBANK.NS,HDFC Bank Ltd
NSE:INFY-EQ,INFY.NS,Infosys Ltd
NSE:HINDUNILVR-EQ,HINDUNILVR.NS,Hindustan Unilever Ltd
NSE:ICICIBANK-EQ,ICICIBANK.NS,ICICI Bank Ltd
NSE:KOTAKBANK-EQ,KOTAKBANK.NS,Kotak Mahindra Bank Ltd
NSE:BHARTIARTL-EQ,BHARTIARTL.NS,Bharti Airtel Ltd
NSE:ITC-EQ,ITC.NS,ITC Ltd
NSE:SBIN-EQ,SBIN.NS,State Bank of India
NSE:LT-EQ,LT.NS,Larsen & Toubro Ltd
NSE:HCLTECH-EQ,HCLTECH.NS,HCL Technologies Ltd
NSE:ASIANPAINT-EQ,ASIANPAINT.NS,Asian Paints Ltd
NSE:AXISBANK-EQ,AXISBANK.NS,Axis Bank Ltd
NSE:MARUTI-EQ,MARUTI.NS,Maruti Suzuki India Ltd
NSE:SUNPHARMA-EQ,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd
NSE:ULTRACEMCO-EQ,ULTRACEMCO.NS,UltraTech Cement Ltd
NSE:BAJFINANCE-EQ,BAJFINANCE.NS,Bajaj Finance Ltd
NSE:NESTLEIND-EQ,NESTLEIND.NS,Nestle India Ltd
NSE:BAJAJFINSV-EQ,BAJAJFINSV.NS,Bajaj Finserv Ltd
NSE:WIPRO-EQ,WIPRO.NS,Wipro Ltd
NSE:ONGC-EQ,ONGC.NS,Oil & Natural Gas Corporation Ltd
NSE:TATASTEEL-EQ,TATASTEEL.NS,Tata Steel Ltd
NSE:TECHM-EQ,TECHM.NS,Tech Mahindra Ltd
NSE:NTPC-EQ,NTPC.NS,NTPC Ltd
NSE:POWERGRID-EQ,POWERGRID.NS,Power Grid Corporation of India Ltd
NSE:TITAN-EQ,TITAN.NS,Titan Company Ltd
NSE:DIVISLAB-EQ,DIVISLAB.NS,Divi's Laboratories Ltd
NSE:INDUSINDBK-EQ,INDUSINDBK.NS,IndusInd Bank Ltd
NSE:COALINDIA-EQ,COALINDIA.NS,Coal India Ltd
NSE:JSWSTEEL-EQ,JSWSTEEL.NS,JSW Steel Ltd
NSE:TATAMOTORS-EQ,TATAMOTORS.NS,Tata Motors Ltd
NSE:GRASIM-EQ,GRASIM.NS,Grasim Industries Ltd
NSE:BRITANNIA-EQ,BRITANNIA.NS,Britannia Industries Ltd
NSE:DRREDDY-EQ,DRREDDY.NS,Dr. Reddy's Laboratories Ltd
NSE:HINDALCO-EQ,HINDALCO.NS,Hindalco Industries Ltd
NSE:BPCL-EQ,BPCL.NS,Bharat Petroleum Corporation Ltd
NSE:EICHERMOT-EQ,EICHERMOT.NS,Eicher Motors Ltd
NSE:HEROMOTOCO-EQ,HEROMOTOCO.NS,Hero MotoCorp Ltd
NSE:CIPLA-EQ,CIPLA.NS,Cipla Ltd
NSE:UPL-EQ,UPL.NS,UPL Ltd
NSE:ADANIPORTS-EQ,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd
NSE:TRENT-EQ,TRENT.NS,Trent Ltd
NSE:IOC-EQ,IOC.NS,Indian Oil Corporation Ltd
NSE:SBILIFE-EQ,SBILIFE.NS,SBI Life Insurance Company Ltd
NSE:LTIM-EQ,LTIM.NS,LTIMindtree Ltd
NSE:APOLLOHOSP-EQ,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd
NSE:SHRIRAMFIN-EQ,SHRIRAMFIN.NS,Shriram Finance Ltd
NSE:VEDL-EQ,VEDL.NS,Vedanta Ltd
NSE:BAJAJ-AUTO-EQ,BAJAJ-AUTO.NS,Bajaj Auto Ltd
NSE:TATACONSUM-EQ,TATACONSUM.NS,Tata Consumer Products Ltd
NSE:ADANIENT-EQ,ADANIENT.NS,Adani Enterprises Ltd
