Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
HEROMOTOCO.NS,4997.89990234375,0.799929585564131,Strong,0.9576342910423288,0.8395700081657607,0.5137696889405666,0.6008763366698875,0.9986081144090009,,,50378.801152,,,,71878.00064,0.24733021791724782,0.42157898845005926,999.919845376,Consumer Cyclical,1.0,1
TCS.NS,3054.0,0.7971473688739146,Strong,0.852048199132794,0.8780958367503512,0.7603512403862303,0.6525405215951434,0.7928241271206412,504099.995648,341783.740416,492729.991168,1.0230755275380088,0.030931644986545534,0.6780078225881572,414240.014336,0.19976266988106908,0.32920079800331165,11049.646424064,Technology,2.0,2
BRITANNIA.NS,5545.5,0.7750533692271112,Strong,0.964953851092994,0.744873109424775,0.5714448940532023,0.6116196512417936,0.8940417903599911,,,21938.100224,,,,12444.199936,0.1977690395050757,0.2902319760455702,1335.761174528,Consumer Defensive,3.0,3
TECHM.NS,1505.0,0.7655782132151281,Strong,0.8778660053192735,0.8563377715994263,0.7000000000000001,0.47699851843292923,0.816471899002425,,,45405.999104,,,,73787.998208,0.25714463216763933,0.2914996545818281,1331.977650176,Technology,4.0,4
COALINDIA.NS,374.45001220703125,0.7639103132367107,Strong,0.8753219329355078,0.7432541092005933,0.5327123981321896,0.5992435235751811,1.0,,,331420.696576,,,,373905.686528,0.2684660100067322,0.3084013195483767,2307.634233344,Energy,5.0,5
ULTRACEMCO.NS,12589.0,0.7636507734986031,Strong,0.9475996424017482,0.6269766797424279,0.6699923067216843,0.5946253418151366,0.8908163216653651,,,67701.899264,,,,43130.400768,0.21601330304189198,0.16182273659839744,3703.0920192,Basic Materials,6.0,6
ADANIPORTS.NS,1341.199951171875,0.7528630220420758,Strong,0.8523620559145948,0.7555368997767522,0.6399682432741925,0.404476529688254,1.0,,,112940.703744,,,,60726.198272,0.39681060282603003,0.5233702809474987,2897.179836416,Industrials,7.0,7
TATACONSUM.NS,1084.0999755859375,0.7528311456831636,Strong,0.9530431991084706,0.7455589076438309,0.44122988284569287,0.6078335199377328,0.9301877990874066,,,13223.000064,,,,31088.400384,0.2193870168090123,0.2900937090463386,1072.753803264,Consumer Defensive,8.0,8
CIPLA.NS,1592.800048828125,0.7512710270279189,Strong,0.9620156395361159,0.8096174899972732,0.4478408491196852,0.5949179648555086,0.8501887729608596,,,53924.999168,,,,106171.998208,0.2295130953734786,0.2650844721908254,1286.590562304,Healthcare,9.0,9
APOLLOHOSP.NS,7922.5,0.7492709277050673,Strong,0.9403075623211777,0.7051948485254,0.5599999999999999,0.5849044658151651,0.8670969877370904,,,15735.000064,,,,20103.999488,0.22790893665444792,0.18497185327427548,1139.136659456,Healthcare,10.0,10
HDFCBANK.NS,1964.5999755859375,0.7477069703540589,Strong,0.9292622789201164,0.7799786620043672,0.5,0.39597112148770824,1.0,,,705753.120768,,,,1425618.763776,0.19379510119809004,0.19913778900702672,15082.273636352,Financial Services,11.0,11
ONGC.NS,236.2899932861328,0.7389103182416062,Strong,0.7282466554778372,0.837827702907007,0.6977277652796392,0.6137330564924677,0.7883880113047376,,,360552.726528,,,,326362.759168,0.2844304158852837,0.322604632968277,2972.717154304,Energy,12.0,12
HINDUNILVR.NS,2629.89990234375,0.7357148444047766,Strong,0.9486288330102668,0.6376621732573662,0.6618372772858807,0.6229264664294257,0.7260938803957334,,,107949.99808,,,,110530.002944,0.18824784091961966,0.2822537169610307,6179.186540544,Consumer Defensive,13.0,13
TRENT.NS,5418.0,0.727850135066344,Strong,0.7070726258380738,0.6528137394999955,0.6793252777976089,0.5643611676486969,1.0,,,15838.400512,,,,9731.600384,0.34858811318799193,0.43895224971484703,1926.028591104,Consumer Cyclical,14.0,14
LT.NS,3595.800048828125,0.727766935839596,Strong,0.8810655631339639,0.7571317109778879,0.574295252291837,0.6048842735544432,0.7524125568449674,,,153938.00192,,,,605940.088832,0.23734412388436504,0.22626859969367172,4945.51957504,Industrials,15.0,15
HINDALCO.NS,704.2000122070312,0.7199975910312729,Strong,0.9101728504311064,0.8282917282362932,0.47725066763495283,0.5641877294285532,0.7335886991748206,,,169309.995008,,,,239939.9936,0.3039944338671483,0.2622939887533091,1563.845197824,Basic Materials,16.0,16
NTPC.NS,337.0,0.7197432817601443,Strong,0.6086472859832224,0.6978330892839644,0.6995121120406048,0.5874161333294985,1.0,,,239589.195776,,,,115071.000576,0.25793635640893375,0.323022939034215,3267.777789952,Utilities,17.0,17
DRREDDY.NS,1277.5999755859375,0.7161920740768672,Strong,0.7041347399407457,0.7873323126632723,0.6468915284422655,0.7508622116955012,0.7034214455812402,52560.9984,14228.50048,56802.000896,0.9253370932519623,0.013379664439923951,0.2707045321270001,66688.0,0.1988707942055122,0.22979980770894942,1063.442251776,Healthcare,18.0,18
MARUTI.NS,14349.0,0.715681710614759,Strong,0.9253095364672438,0.6238284714693352,0.5599999999999999,0.5835864164312395,0.8002533486969756,,,145328.996352,,,,88871.002112,0.20540183465984663,0.20443700416091257,4511.368740864,Consumer Cyclical,19.0,19
SUNPHARMA.NS,1641.800048828125,0.715171938191622,Strong,0.8677897145340395,0.7350151772694823,0.31416602561862206,0.5892551265366074,1.0,,,103720.501248,,,,261227.200512,0.1861509025310156,0.1912860818507579,3939.220062208,Healthcare,20.0,20
NESTLEIND.NS,1162.9000244140625,0.7085144337328999,Strong,0.972268860366025,0.6024299979019991,0.3443306179136843,0.5073006365217123,1.0,,,31075.79904,,,,761.8,0.18682681404864085,0.21977861304942095,2242.431680512,Consumer Defensive,21.0,21
TATASTEEL.NS,158.5500030517578,0.7048862976313466,Strong,0.7589490051179191,0.7241215208767048,0.5898450689870246,0.34903818919414026,1.0,,,45385.801728,,,,100476.100608,0.27370474356707164,0.3168278344845445,1977.403834368,Basic Materials,22.0,22
