Symbol,Current_Price,Expected_Return,Composite_Score,Value_Score,Quality_Score,Momentum_Score,Size_Score,LowVol_Score,Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap_B,Sector,Factor_Rank,Expected_Return_Rank,Rank
COALINDIA.NS,380.0,0.07213236874294078,0.578070501087267,0.6896277355409529,0.922654268808115,0.5,0.0,0.5,0.19097723493743635,0.03734669603566794,0.08723350762694575,2341.837471744,Energy,1.0,1.0,1
CIPLA.NS,1601.199951171875,0.06827744482355384,0.5338645274954191,0.44911463476573976,0.9863434752159365,0.5,0.0,0.5,0.21973693176414702,0.014915311674014185,0.09143409237230425,1293.375635456,Healthcare,2.0,2.0,2
ITC.NS,399.3500061035156,0.06738351319923505,0.523292823828847,0.3971887539008456,0.9959825414145422,0.5,0.0,0.5,0.14447470741952192,0.016497788725841574,0.08413030021719366,5002.537467904,Consumer Defensive,3.0,5.0,3
DRREDDY.NS,1283.9000244140625,0.06782146922197077,0.5200396330586694,0.5238182476901213,0.8563402845445562,0.5,0.0,0.5,0.21061120158087865,0.013396577203835339,0.11624739641671261,1068.686245888,Healthcare,4.0,3.0,4
SUNPHARMA.NS,1656.699951171875,0.06623708095210121,0.5073012764105498,0.3598008734936422,0.969404232148557,0.5,0.0,0.5,0.2171008284506722,0.0056981862341547165,0.1354670594075049,3974.969950208,Healthcare,5.0,8.0,5
HINDALCO.NS,715.8499755859375,0.06781046069791628,0.5053168633024029,0.6982897799544233,0.622977673255188,0.5,0.0,0.5,0.2792213729481153,0.010065349468926645,0.204192950737763,1589.716713472,Basic Materials,6.0,4.0,6
TATAMOTORS.NS,686.7999877929688,0.06737158407873521,0.502848973225761,0.6401291370379085,0.6712667558651355,0.5,0.0,0.5,0.3096313810210749,0.007659378939287127,0.187456148797118,2528.598556672,Consumer Cyclical,7.0,6.0,7
SHRIRAMFIN.NS,620.8499755859375,0.0668484825309063,0.4968962375983921,0.6069416550005553,0.680643295393013,0.5,0.0,0.5,0.36699220631229706,0.005036844104894456,0.1455462733231407,1167.769206784,Financial Services,8.0,7.0,8
TCS.NS,3140.60009765625,0.06572267115073847,0.49680477997381906,0.38287687046186597,0.9043422494334104,0.5,0.0,0.5,0.19876618225425777,0.0036357852354081278,0.1688952477799719,11362.973515776,Technology,9.0,10.0,9
HEROMOTOCO.NS,5063.7998046875,0.0655358127354455,0.48834872204400226,0.4469778825610708,0.8064170056149382,0.5,0.0,0.5,0.28984934471017637,0.0018485904668208168,0.07087287862189831,1013.10431232,Consumer Cyclical,10.0,11.0,10
BEL.NS,372.04998779296875,0.06449724415058188,0.48727546521269116,0.2521432475640792,0.9969586132866856,0.5,0.0,0.5,0.27921714595997976,-0.0018005908902535188,0.13773820100720457,2719.603490816,Industrials,11.0,19.0,11
EICHERMOT.NS,5990.5,0.06454072425188642,0.48275450272049647,0.31509081773132724,0.9159271931506586,0.5,0.0,0.5,0.21163121801049342,-0.002170170131000274,0.08639525526027622,1643.062493184,Consumer Cyclical,12.0,18.0,12
WIPRO.NS,253.83999633789062,0.06531362027973979,0.479264794213849,0.5115465253817688,0.7055126514736271,0.5,0.0,0.5,0.2642648949089249,0.001186764817354466,0.204923635540615,2658.034778112,Technology,13.0,12.0,13
HINDUNILVR.NS,2631.60009765625,0.06378147124505178,0.4765714924723029,0.23743633934272057,0.9688496305464911,0.5,0.0,0.5,0.19416160381300537,-0.0062758482162198,0.056481872790742405,6183.181090816,Consumer Defensive,14.0,24.0,14
MARUTI.NS,14452.0,0.0642593538519112,0.4716232742169673,0.3923914797786301,0.7941016170892393,0.5,0.0,0.5,0.21770249353935264,-0.0034021022729118213,0.08487873572185992,4543.75243776,Consumer Cyclical,15.0,20.0,15
KOTAKBANK.NS,1983.300048828125,0.0648717743049407,0.4712846788117587,0.5189387152470349,0.6661999999999999,0.5,0.0,0.5,0.2379953174513409,-0.0005387740247684232,0.13833248063546197,3943.435075584,Financial Services,16.0,14.0,16
POWERGRID.NS,284.1499938964844,0.06486449977922229,0.46880876707372365,0.5471947509597722,0.6280403173351224,0.5,0.0,0.5,0.23179095502714112,-0.0005845794145066884,0.11070273809462236,2642.7654144,Utilities,17.0,15.0,17
ONGC.NS,236.75999450683594,0.06574763932374823,0.4674719523339311,0.7398644367424736,0.4300233725932507,0.5,0.0,0.5,0.2413704983316089,0.0030974759919544115,0.1228854258169531,2978.630336512,Energy,18.0,9.0,18
RELIANCE.NS,1412.5999755859375,0.06461141075528669,0.4666849441966549,0.5220628206974792,0.6446769560891403,0.5,0.0,0.5,0.22171518820694394,-0.001752650541696825,0.11268245933647533,19116.008144896,Energy,19.0,17.0,19
TECHM.NS,1527.0999755859375,0.0639754469523499,0.4657642858456692,0.40591796032194755,0.7571391830607294,0.5,0.0,0.5,0.27440648990490296,-0.0037337055985999746,0.19864629019180624,1351.537000448,Technology,20.0,22.0,20
NTPC.NS,337.8500061035156,0.06471797814003129,0.4640129455760313,0.5754402810938806,0.5806115012102446,0.5,0.0,0.5,0.2105336354067243,-0.0013395572608808288,0.10546398942534059,3276.019859456,Utilities,21.0,16.0,21
TATASTEEL.NS,159.6300048828125,0.06416380274669828,0.46220848377284407,0.4862587440655268,0.6625751910258495,0.5,0.0,0.5,0.30398498623540976,-0.002750784713604777,0.20032698046344738,1990.873448448,Basic Materials,22.0,21.0,22
SBIN.NS,816.4500122070312,0.06497445650807811,0.45926195635097633,0.6837478254039053,0.4533,0.5,0.0,0.5,0.19319449052015322,-0.00013221646152083405,0.06493200227845133,7536.339582976,Financial Services,23.0,13.0,23
ULTRACEMCO.NS,12606.0,0.0630484306064236,0.45701772613738895,0.3254734076360504,0.8025974969135055,0.5,0.0,0.5,0.20892326610029235,-0.009341082159033301,0.09839010710132588,3708.092678144,Basic Materials,24.0,29.0,24
ADANIPORTS.NS,1340.4000244140625,0.0635078942372086,0.4559429864802747,0.4302630096784232,0.6935089362426756,0.5,0.0,0.5,0.27139137362113586,-0.0054979852265842335,0.11343043209211236,2895.451783168,Industrials,25.0,26.0,25
GRASIM.NS,2811.39990234375,0.06370975762605084,0.4556259102831117,0.4744406018128262,0.6480630393196207,0.5,0.0,0.5,0.2259978816532705,-0.0057090905654092385,0.10645002104794195,1907.683885056,Basic Materials,26.0,25.0,26
BAJAJFINSV.NS,1963.800048828125,0.06330549132999293,0.4514960610537633,0.4431455333534258,0.6628387108616274,0.5,0.0,0.5,0.25176706879757293,-0.006730461922998764,0.09314505503150869,3134.715854848,Financial Services,27.0,27.0,27
