Symbol,Last_Price,1D_Return_%,5D_Return_%,20D_Return_%,Price_vs_SMA20_%,RSI_14,1D_Return_%_Score,5D_Return_%_Score,20D_Return_%_Score,Price_vs_SMA20_%_Score,RSI_Score,Composite_Score,Rank,Signal
HINDUNILVR.NS,2629.60009765625,-0.6948603604135184,6.006611067248602,7.867751455675176,4.037098023253094,60.354733566793655,54.46850788332096,66.71868199494007,61.70611922112601,86.73495895487854,100,70.70877423854668,1,Buy
EICHERMOT.NS,5950.5,-0.41004184100418284,3.2356002775850046,10.214984183521626,5.0820794656288415,87.48890860692103,65.67672307665265,45.677635783563545,70.17213854528379,100.0,40,66.32255897097392,2,Buy
DRREDDY.NS,1282.5,0.4621670473833772,1.7534096443874159,1.3433425523508458,2.7570120119136954,69.90352920304241,100.0,34.42295510043059,38.17382470300688,70.48549002354679,100,59.15498419071907,3,Neutral
TITAN.NS,3613.0,-0.09125484012849627,3.54215914241387,3.6907387573323014,4.420456351786828,92.59895536415883,78.22167034363997,48.00542146575296,46.64043365791051,91.60132667852717,20,58.047001351062825,4,Neutral
NTPC.NS,1164.5999755859375,-1.254879474458026,6.902877683734365,0.3057513981757687,3.2142536022227164,58.22413806889407,32.43056331564734,73.52428064707684,34.431431945097096,76.28973516803123,80,56.83303127625169,5,Neutral
TCS.NS,1085.800048828125,-0.21137090427504335,3.29148585078205,1.21178219689686,1.7815082910423108,61.062809816201224,73.49484746034398,46.10199029440652,37.69931167396079,58.102402274535144,100,55.479998649748495,6,Neutral
HINDALCO.NS,705.75,-0.21914149861719245,1.5102481121898492,2.2032234961008923,2.584318819989617,66.78862528014801,73.18905802731302,32.57656278218947,41.275250735414836,68.29331494158755,100,55.16373760858628,7,Neutral
BAJAJFINSV.NS,897.6500244140625,0.22890228718281946,4.202218549430037,-6.392407008983325,1.5823288345538478,64.8762078740732,90.82053500323381,53.01743388269738,10.272456212296065,55.57400936866915,100,51.07397745858207,8,Neutral
RELIANCE.NS,1414.4000244140625,-0.7299286957925366,2.955304567107131,1.2223986027933176,1.5980406078076381,57.7810704640492,53.08849421631964,43.54927344769132,37.73760301866055,55.77345531923967,80,49.32656446381688,9,Neutral
BRITANNIA.NS,5573.0,-0.43769539973201876,5.101367279585101,-0.4753307350923386,0.7647159494990952,44.22187981510015,64.58849665891199,59.84491721573414,31.614218144542612,45.19519493287015,60,49.17280823270714,10,Neutral
BPCL.NS,1923.5,-0.3316246610238549,2.6523615047911564,-0.6507915781634344,1.0565351923040867,52.573535736591545,68.7626060799646,41.24894354735911,30.98136445668704,48.89956141880874,80,47.70094841960233,11,Neutral
INDUSINDBK.NS,1495.5,-0.060145976969960824,3.3017925288615357,-3.6714975845410613,1.83514435538783,44.822531326014776,79.44587034799314,46.18025173263881,20.086255880872482,58.78326086798972,60,47.24447242321836,12,Neutral
HDFCLIFE.NS,789.7999877929688,-0.7102928313981849,0.13312048088351958,4.291562197791143,2.9357128714368796,85.36762910730698,53.86120729022855,22.119654336590205,48.80748884463602,72.75392670600527,40,46.802126672273694,13,Neutral
GRASIM.NS,2821.300048828125,-2.0789915090546507,2.0398621460605337,3.496596877488667,1.9912311447634057,61.08738217161447,0.0,36.59806764331614,45.94020104489113,60.76463353520284,100,45.08450393133695,14,Neutral
ASIANPAINT.NS,2518.0,-1.893559409610801,-0.42314040330946323,7.053267099859428,1.7005963555240644,62.97733831132036,7.297147947500451,17.89581262022265,58.7684299951042,57.075302555663946,100,44.61411485684478,15,Neutral
LT.NS,3611.89990234375,-0.019382032153358875,-1.7704677088999143,3.86484262670741,0.051242445871313436,53.56312604274152,81.0500183738346,7.665186234888469,47.26839300129128,36.138330450461424,80,43.48198330527698,16,Neutral
TECHM.NS,1502.300048828125,-1.248931794529018,1.049310430390027,0.24690199536008262,1.4628840468313475,63.26786189784865,32.66461718505032,29.076536329931507,34.21917340952792,54.05777190500416,100,43.24613306409963,17,Neutral
SUNPHARMA.NS,1645.699951171875,0.3353249703531791,0.26196702168002073,-2.736409505208337,-0.0370546364363622,54.95662499338219,95.00849418825742,23.098021519131677,23.458939661012028,35.017483348801,80,42.06695807608534,18,Neutral
TATASTEEL.NS,3069.199951171875,-1.0765211575157863,1.551795043047921,-2.5031781711602585,0.5454440114617265,67.38954534500262,39.449342859740284,32.89204004246809,24.300160455876178,42.41174716991634,100,39.91280901032419,19,Weak
NESTLEIND.NS,336.54998779296875,-0.6641086425820397,-0.8251122027953528,-0.6934217013392474,0.29950918626668876,56.38786908861915,55.67865345859681,14.843530312191803,30.827605759342706,39.289839527977655,80,37.168930230235816,20,Weak
ICICIBANK.NS,1436.0999755859375,-0.6846489912906262,0.6165435757560234,-2.4416191605166726,-0.5140630182998929,36.14069041016318,54.87034700103448,25.790418707772556,24.52219202841768,28.962317670546312,40,31.827277869732878,21,Weak
SBIN.NS,615.3499755859375,-0.7179755235035112,-0.17844701100019345,-2.8727034263598905,-1.211282250716783,82.68030157545616,53.558876997383884,19.75383677314299,22.967353566226727,20.11178563197584,60,29.884853939156514,22,Weak
ADANIPORTS.NS,1341.0,-1.527393749620154,3.130043039570385,-5.001415188933556,-1.1306206520295348,48.899318635261714,21.706546332460178,44.87611067536268,15.289497551478137,21.13570756394708,60,29.289000396942555,23,Weak
HCLTECH.NS,1472.300048828125,-1.4194811631653814,-1.1746542775163293,-2.315545612684944,-0.511863846581706,56.449577391888646,25.9531363841268,12.189361308426443,24.976915192229313,28.990234054439885,80,28.2314321532824,24,Weak
KOTAKBANK.NS,1991.699951171875,-1.2934927656190753,0.6824385973724478,-7.021153990372964,-0.16766759413945342,49.847611607558036,30.91104809046698,26.29077771038011,8.004686156390992,33.35947663720121,60,26.282652815522617,25,Weak
POWERGRID.NS,282.54998779296875,-0.5105676785321256,-1.7070841598637698,-5.204061238849045,-1.5039439095977825,32.347268183771604,61.72081732361492,8.146474936211957,14.558592024218036,16.396725478789055,40,22.941664035618448,26,Weak
ITC.NS,769.5499877929688,0.2736302759183573,-0.025984047681881783,-9.240480524250149,-2.7956303644516622,29.81481523343635,92.5806765977919,20.91152994008062,0.0,0.0,20,21.11498397468894,27,Weak
ADANIENT.NS,,0.0,4.190035476148024,-8.86366967596237,,53.01675492664294,81.81274260858392,52.92492446018643,1.3590846298753998,,80,,28,Neutral
APOLLOHOSP.NS,,0.0,1.472169411652935,7.783605124967052,,75.13198604188024,81.81274260858392,32.287420747573414,61.40261950702415,,100,,29,Neutral
AXISBANK.NS,,0.0,1.0016919800875268,-1.4793125315528566,,60.869579202665925,81.81274260858392,28.714956354470395,27.99304790901349,,100,,30,Neutral
BAJAJ-AUTO.NS,,0.0,5.734461557192416,4.777704047777043,,75.25651144435675,81.81274260858392,64.65217599689203,50.56090947797838,,100,,31,Neutral
BAJFINANCE.NS,,0.0,2.851801210861926,-2.5734413015579327,,57.82749472848559,81.81274260858392,42.76334402803276,24.04673478884899,,80,,32,Neutral
BEL.NS,,0.0,-2.7799381291574665,-5.820938992839442,,48.049250163738044,81.81274260858392,0.0,12.333632000455369,,60,,33,Neutral
BHARTIARTL.NS,,0.0,0.5973980465294959,-4.871763021297171,,59.09724782315541,81.81274260858392,25.64504144446514,15.7571281121834,,80,,34,Neutral
CIPLA.NS,,0.0,1.841435347066822,7.050206512051926,,73.0296942118402,81.81274260858392,35.09135844435663,58.757391040502796,,100,,35,Neutral
COALINDIA.NS,,0.0,-0.3040708304087203,0.8734258292624419,,78.36774582624692,81.81274260858392,18.799940599485243,36.478924997828784,,100,,36,Neutral
HDFCBANK.NS,,0.0,0.005021123357096258,-1.1418925904857935,,43.94463326790999,81.81274260858392,21.146960721893624,29.21005707369518,,60,,37,Neutral
HEROMOTOCO.NS,,0.0,8.26235619318394,18.484860488717114,,79.63480403534872,81.81274260858392,83.84717446163843,100.0,,100,,38,Neutral
INFY.NS,,0.0,-1.4339589838421873,-1.07330754556495,,57.40423693502357,81.81274260858392,10.22038943398197,29.457430207496373,,80,,39,Neutral
JSWSTEEL.NS,,0.0,2.515547472800095,3.675759160881764,,65.53671244874948,81.81274260858392,40.210077015252196,46.58640511974562,,100,,40,Neutral
M&M.NS,,0.0,3.359471997097896,3.5021067414678697,,70.94330985598464,81.81274260858392,46.61822778135575,45.960074069993425,,100,,41,Neutral
MARUTI.NS,,0.0,10.389610389610393,14.952282058351084,,95.8294717330862,81.81274260858392,100.0,87.25866553376629,,20,,42,Neutral
ONGC.NS,,0.0,0.569760627507554,-2.671244739619294,,56.02895251365812,81.81274260858392,25.435182928946887,23.693976501707933,,80,,43,Neutral
SBILIFE.NS,,0.0,1.9939190334121504,4.666596475328566,,71.88345285636551,81.81274260858392,36.249208966931675,50.16016572374823,,100,,44,Neutral
SHRIRAMFIN.NS,,0.0,-0.10283414173256622,1.2259408913018355,,50.63922531632171,81.81274260858392,20.32798606277028,37.75037937552073,,80,,45,Neutral
TATACONSUM.NS,,0.0,3.129709538401171,-2.1555996553800805,,55.833347975619205,81.81274260858392,44.873578309361385,25.55380965578183,,80,,46,Neutral
TATAMOTORS.NS,,0.0,3.998706589212686,-1.2050411501027924,,66.91350004801473,81.81274260858392,51.47211165751004,28.982292302154722,,100,,47,Neutral
TRENT.NS,,0.0,1.5268596964900905,5.7916181606519235,,68.83206634416032,81.81274260858392,32.702699105515734,54.217903678340676,,100,,48,Neutral
ULTRACEMCO.NS,,0.0,4.489729641958262,5.263157894736836,,76.93950177935943,81.81274260858392,55.200584596774604,52.31184861604973,,100,,49,Neutral
WIPRO.NS,,0.0,1.25602938867162,-2.682599414887077,,61.518672386587575,81.81274260858392,30.646210172485784,23.653022360648052,,100,,50,Neutral
