Rank,Symbol,Sector,Current_Price,Expected_Return,Volatility,Best_Case,Worst_Case,VaR_5,Scenario_Range,Strong_Growth_Impact,Base_Case_Impact,Economic_Slowdown_Impact,High_Inflation_Impact,Interest_Rate_Shock_Impact,GDP_Sensitivity,Interest_Sensitivity,Inflation_Sensitivity,USD_Sensitivity,Oil_Sensitivity
1,RELIANCE.NS,Energy,1409.2,-1.0,13.91,19.24,-20.85,-18.63,40.08,19.24,0.0,-20.85,8.48,-9.77,0.221,-0.102,0.159,-0.021,0.468
2,BEL.NS,Defense,374.85,-1.1,4.05,5.05,-9.69,-8.79,14.74,5.05,0.0,-5.2,-3.29,-9.69,0.112,-0.107,-0.023,-0.095,0.17
3,HDFCLIFE.NS,Insurance,788.75,-1.14,8.43,10.06,-14.24,-11.39,24.29,10.06,0.0,-14.24,1.57,5.0,0.208,0.322,-0.063,-0.236,0.118
4,SBILIFE.NS,Insurance,1859.0,-1.28,7.85,9.42,-13.4,-10.72,22.82,9.42,0.0,-13.4,0.16,3.45,0.206,0.297,-0.073,-0.226,0.103
5,BPCL.NS,Energy,316.45,-1.28,14.3,19.77,-21.61,-19.49,41.38,19.77,0.0,-21.61,7.21,-11.0,0.241,-0.094,0.133,-0.024,0.492
6,ONGC.NS,Energy,236.29,-1.47,14.69,20.28,-22.3,-20.23,42.58,20.28,0.0,-22.3,6.44,-11.94,0.25,-0.09,0.129,-0.015,0.476
7,DRREDDY.NS,Pharmaceuticals,1277.6,-2.02,5.65,6.36,-12.26,-11.34,18.62,6.36,0.0,-7.66,-7.59,-12.26,0.085,-0.013,-0.086,-0.026,0.104
8,CIPLA.NS,Pharmaceuticals,1592.8,-2.03,6.39,7.66,-13.51,-12.57,21.16,7.66,0.0,-8.84,-6.73,-13.51,0.112,-0.052,-0.053,-0.029,0.119
9,APOLLOHOSP.NS,Healthcare,7922.5,-2.16,5.04,3.99,-14.15,-13.43,18.15,3.99,0.0,-4.79,-10.53,-14.15,0.134,-0.069,-0.127,-0.118,0.1
10,SUNPHARMA.NS,Pharmaceuticals,1641.8,-2.16,6.32,7.25,-14.2,-13.05,21.45,7.25,0.0,-8.44,-7.86,-14.2,0.104,-0.049,-0.07,-0.035,0.11
